,Country,Item,Element,Year,Unit,Value,Population Size,2020 GDP in USD
0,Afghanistan,"Almonds, with shell",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
1,Afghanistan,"Anise, badian, fennel, coriander",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
2,Afghanistan,Apples,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
3,Afghanistan,Apricots,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
4,Afghanistan,Barley,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
5,Afghanistan,Berries nes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
6,Afghanistan,Figs,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
7,Afghanistan,"Fruit, citrus nes",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
8,Afghanistan,"Fruit, fresh nes",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
9,Afghanistan,"Fruit, stone nes",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
10,Afghanistan,Grapes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
11,Afghanistan,Linseed,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
12,Afghanistan,Maize,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
13,Afghanistan,"Melons, other (inc.cantaloupes)",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
14,Afghanistan,Millet,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
15,Afghanistan,Nuts nes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
16,Afghanistan,"Onions, dry",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
17,Afghanistan,Oranges,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
18,Afghanistan,Peaches and nectarines,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
19,Afghanistan,Pears,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
20,Afghanistan,Pistachios,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
21,Afghanistan,Plums and sloes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
22,Afghanistan,Potatoes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
23,Afghanistan,Pulses nes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
24,Afghanistan,"Rice, paddy",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
25,Afghanistan,Seed cotton,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
26,Afghanistan,Sesame seed,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
27,Afghanistan,Spices nes,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
28,Afghanistan,Sugar beet,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
29,Afghanistan,Sugar cane,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
30,Afghanistan,Sunflower seed,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
31,Afghanistan,"Vegetables, fresh nes",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
32,Afghanistan,"Walnuts, with shell",Production,2020,tonnes,0.0,38928341.0,20116137325.8206
33,Afghanistan,Watermelons,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
34,Afghanistan,Wheat,Production,2020,tonnes,0.0,38928341.0,20116137325.8206
35,Afghanistan,Asses,Stocks,2020,Head,1535435.0,38928341.0,20116137325.8206
36,Afghanistan,Camels,Stocks,2020,Head,168928.0,38928341.0,20116137325.8206
37,Afghanistan,Cattle,Stocks,2020,Head,5085807.0,38928341.0,20116137325.8206
38,Afghanistan,Chickens,Stocks,2020,Head,13724000.0,38928341.0,20116137325.8206
39,Afghanistan,Goats,Stocks,2020,Head,7967043.0,38928341.0,20116137325.8206
40,Afghanistan,Horses,Stocks,2020,Head,173100.0,38928341.0,20116137325.8206
41,Afghanistan,Mules,Stocks,2020,Head,24088.0,38928341.0,20116137325.8206
42,Afghanistan,Sheep,Stocks,2020,Head,13614237.0,38928341.0,20116137325.8206
43,Albania,Apples,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
44,Albania,Apricots,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
45,Albania,Barley,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
46,Albania,"Beans, dry",Production,2020,tonnes,0.0,2837849.0,15131866270.5936
47,Albania,"Beans, green",Production,2020,tonnes,0.0,2837849.0,15131866270.5936
48,Albania,"Broad beans, horse beans, dry",Production,2020,tonnes,0.0,2837849.0,15131866270.5936
49,Albania,Cabbages and other brassicas,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
50,Albania,Carrots and turnips,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
51,Albania,Cauliflowers and broccoli,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
52,Albania,Cherries,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
53,Albania,Chestnut,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
54,Albania,"Chillies and peppers, green",Production,2020,tonnes,0.0,2837849.0,15131866270.5936
55,Albania,Cucumbers and gherkins,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
56,Albania,Dates,Production,2020,tonnes,0.0,2837849.0,15131866270.5936
57,Albania,Eggplants (aubergines),Production,2020,tonnes,0.0,2837849.0,15131866270.5936
