Country,Year,Value,Population Size,2020 GDP in USD,GDP Per Capita,Production,Production in Millions
Afghanistan,2020,54771898.0,38928341.0,20116137325.8206,516.7478708075589,5.4771898,5.4771898
Albania,2020,12904896.0,2837849.0,15131866270.5936,5332.160474568449,1.2904896,1.2904896
Algeria,2020,201992285.0,43851043.0,145009181490.62,3306.858208381041,20.1992285,20.1992285
Angola,2020,84297733.0,32866268.0,53619071176.139,1631.431690879506,8.4297733,8.4297733
Antigua and Barbuda,2020,215545.0,97928.0,1370281481.48148,13992.744480449715,0.0215545,0.0215545
Argentina,2020,381324138.0,45376763.0,389591035520.675,8585.694742497939,38.1324138,38.1324138
Armenia,2020,8160547.0,2963234.0,12641209802.112,4266.018074209462,0.8160547,0.8160547
Australia,2020,263620034.0,25693267.0,1327836171068.51,51680.31652294393,26.3620034,26.3620034
Austria,2020,15483620.0,8916864.0,433258467676.515,48588.659384792125,1.548362,1.548362
Azerbaijan,2020,49869407.0,10093121.0,42693000000.0,4229.910649045028,4.9869407,4.9869407
Bahrain,2020,10041252.0,1701583.0,34723357446.8085,20406.50232566293,1.0041252,1.0041252
Bangladesh,2020,533086932.0,164689383.0,373902134700.41,2270.347534791663,53.3086932,53.3086932
Barbados,2020,4417133.0,287371.0,4689534961.75956,16318.74810527005,0.4417133,0.4417133
Belarus,2020,76630733.0,9379952.0,61489588894.8211,6555.426818263153,7.6630733,7.6630733
Belgium,2020,22686230.0,11544241.0,521676942134.632,45189.36690031264,2.268623,2.268623
Belize,2020,3739612.0,397621.0,1585631670.3461,3987.796596120678,0.3739612,0.3739612
Benin,2020,38792983.0,12123198.0,15651545331.5404,1291.0409721544102,3.8792983,3.8792983
Bhutan,2020,2096207.0,771612.0,2315436303.29988,3000.777985956517,0.2096207,0.2096207
Bosnia and Herzegovina,2020,22963673.0,3280815.0,19955120004.6604,6082.36673041924,2.2963673,2.2963673
Botswana,2020,4054645.0,2351625.0,14930072799.0084,6348.832317656259,0.4054645,0.4054645
Brazil,2020,2881277386.0,212559409.0,1448565936739.56,6814.87563196772,288.1277386,288.1277386
Brunei Darussalam,2020,19707037.0,437483.0,12005825769.5087,27442.95382794005,1.9707037,1.9707037
Bulgaria,2020,14426100.0,6934015.0,69889347433.4324,10079.203381220315,1.44261,1.44261
Burkina Faso,2020,89615764.0,20903278.0,17933606353.1775,857.9327296502253,8.9615764,8.9615764
Burundi,2020,16302111.0,11890781.0,2780510624.64184,233.83751030666863,1.6302111,1.6302111
Cabo Verde,2020,1352061.0,555988.0,1703698676.69742,3064.272388428203,0.1352061,0.1352061
Cambodia,2020,50533680.0,16718971.0,25872798012.1938,1547.5113876442397,5.053368,5.053368
Cameroon,2020,94810402.0,26545864.0,40804449726.0184,1537.1302183277369,9.4810402,9.4810402
Canada,2020,309385786.0,38037204.0,1645423407568.36,43258.26387156007,30.9385786,30.9385786
Central African Republic,2020,23523329.0,4829764.0,2326720920.59223,481.746296629034,2.3523329,2.3523329
Chad,2020,138094385.0,16425859.0,10715396135.4168,652.3492095857391,13.8094385,13.8094385
Chile,2020,137955903.0,19116209.0,252727193710.018,13220.570758041931,13.7955903,13.7955903
China,2020,8615244017.0,1411100000.0,14687673892882.0,10408.66975613493,861.5244017,861.5244017
Colombia,2020,294684339.0,50882884.0,270299982887.01,5312.198555549839,29.4684339,29.4684339
Comoros,2020,1032495.0,869595.0,1223876064.52345,1407.409270434455,0.1032495,0.1032495
Costa Rica,2020,38544061.0,5094114.0,62158002233.0279,12201.926033266607,3.8544061,3.8544061
Croatia,2020,20440020.0,4047680.0,57203783203.0259,14132.486560949952,2.044002,2.044002
Cuba,2020,56905678.0,11326616.0,107352000000.0,9477.852873267708,5.6905678,5.6905678
Cyprus,2020,770630.0,1207361.0,24692095945.1742,20451.294969088944,0.077063,0.077063
Denmark,2020,30623790.0,5831404.0,356084867685.639,61063.31643042379,3.062379,3.062379
Djibouti,2020,1410343.0,988002.0,3181071153.6622,3219.701127793466,0.1410343,0.1410343
Dominica,2020,320279.0,71991.0,504214814.814815,7003.859021472336,0.0320279,0.0320279
Dominican Republic,2020,197469213.0,10847904.0,78844702329.0785,7268.196909659092,19.7469213,19.7469213
Ecuador,2020,190842225.0,17643060.0,99291124000.0,5627.772279865284,19.0842225,19.0842225
El Salvador,2020,28195010.0,6486201.0,24638720000.0,3798.636520823206,2.819501,2.819501
Equatorial Guinea,2020,763577.0,1402985.0,10099157269.8025,7198.335883706882,0.0763577,0.0763577
Eritrea,2020,8408961.0,3654768.0,,,0.8408961,0.8408961
Estonia,2020,4750770.0,1329479.0,30650285471.7215,23054.35849059782,0.475077,0.475077
Eswatini,2020,10870454.0,1160164.0,3984840580.40634,3434.721798302947,1.0870454,1.0870454
Ethiopia,2020,289722962.0,114963583.0,107657734392.446,936.4507575624708,28.9722962,28.9722962
Faroe Islands,2020,76282.0,48865.0,3240759988.99453,66320.67919767789,0.0076282,0.0076282
Fiji,2020,8177737.0,896444.0,4574413823.31243,5102.843929249825,0.8177737,0.8177737
Finland,2020,15489210.0,5529543.0,271836962949.417,49160.8371522596,1.548921,1.548921
France,2020,416975630.0,67379908.0,2630317731455.26,39037.12263090742,41.697563,41.697563
French Polynesia,2020,534358.0,280904.0,5669368717.20724,20182.58450291644,0.0534358,0.0534358
Gabon,2020,5108915.0,2225728.0,15316824039.3269,6881.714225335217,0.5108915,0.5108915
Georgia,2020,13045571.0,3722716.0,15842922532.7202,4255.742993212536,1.3045571,1.3045571
Germany,2020,132749300.0,83160871.0,3846413928653.71,46252.68930448925,13.27493,13.27493
Ghana,2020,146358928.0,31072945.0,70043199813.6885,2254.1538889760373,14.6358928,14.6358928
Greece,2020,23662890.0,10700556.0,188835201625.91,17647.23268827433,2.366289,2.366289
Grenada,2020,340544.0,112519.0,1043411111.11111,9273.199291773924,0.0340544,0.0340544
Guatemala,2020,86792718.0,16858333.0,77604632620.6473,4603.339643406456,8.6792718,8.6792718
Guinea,2020,60069042.0,13132792.0,14169626010.1229,1078.9500062228124,6.0069042,6.0069042
Guinea-Bissau,2020,5548622.0,1967998.0,1431758242.90375,727.5201717195597,0.5548622,0.5548622
Guyana,2020,32981996.0,786559.0,5471256594.72422,6955.939217177885,3.2981996,3.2981996
Haiti,2020,15649773.0,11402533.0,14508218017.4032,1272.3679920420489,1.5649773,1.5649773
Honduras,2020,61778046.0,9904608.0,23827840809.7014,2405.73284775141,6.1778046,6.1778046
Hungary,2020,63713160.0,9750149.0,156743134665.959,16075.973266250498,6.371316,6.371316
Iceland,2020,809770.0,366463.0,21718075725.2054,59264.03409131453,0.080977,0.080977
India,2020,2472700614.0,1380004385.0,2667687951796.56,1933.101068948096,247.2700614,247.2700614
Indonesia,2020,4127112052.0,273523621.0,1058688935454.78,3870.557619792479,412.7112052,412.7112052
Iraq,2020,102779247.0,40222503.0,184369797315.436,4583.747493671292,10.2779247,10.2779247
Ireland,2020,14595870.0,4985674.0,425888950992.003,85422.54286822664,1.459587,1.459587
Israel,2020,57211270.0,9215100.0,407100736594.064,44177.57122484444,5.721127,5.721127
Italy,2020,74250480.0,59449527.0,1892574064222.11,31834.972618404685,7.425048,7.425048
Jamaica,2020,16585459.0,2961161.0,13812425036.5864,4664.530242221344,1.6585459,1.6585459
Japan,2020,365630091.0,126261000.0,5040107754084.11,39918.16755834431,36.5630091,36.5630091
Jordan,2020,35027760.0,10203140.0,43697659295.7747,4282.765824616216,3.502776,3.502776
Kazakhstan,2020,109117986.0,18755666.0,171082379532.988,9121.637137971427,10.9117986,10.9117986
Kenya,2020,172763511.0,53771300.0,100666542665.72,1872.1240264921996,17.2763511,17.2763511
Kiribati,2020,837951.0,119446.0,180911843.644622,1514.5910590946703,0.0837951,0.0837951
Kuwait,2020,57003379.0,4270563.0,105960225688.145,24811.76971002301,5.7003379,5.7003379
Latvia,2020,5148283.0,1900449.0,33645460617.239,17703.95344323315,0.5148283,0.5148283
Lebanon,2020,72104146.0,6825442.0,25948915861.1985,3801.792742682233,7.2104146,7.2104146
Lesotho,2020,3894785.0,2142252.0,2250717718.46577,1050.631633657371,0.3894785,0.3894785
Liberia,2020,11936850.0,5057677.0,3039982540.0,601.0630058028617,1.193685,1.193685
Libya,2020,48966036.0,6871287.0,52320215472.0934,7614.325449088853,4.8966036,4.8966036
Lithuania,2020,10936610.0,2794885.0,56546957475.4912,20232.302035858796,1.093661,1.093661
Luxembourg,2020,480888.0,630419.0,73353132793.7076,116356.15803728568,0.0480888,0.0480888
Madagascar,2020,75836901.0,27691019.0,13225591803.6232,477.61304138439976,7.5836901,7.5836901
Malawi,2020,67030376.0,19129955.0,12172128469.5737,636.2863095900487,6.7030376,6.7030376
Malaysia,2020,411297375.0,32365998.0,337006023789.699,10412.347667749931,41.1297375,41.1297375
Maldives,2020,13740.0,540542.0,3742769967.42798,6924.105744656253,0.001374,0.001374
Mali,2020,132449324.0,20250834.0,17465392779.0366,862.4530120110904,13.2449324,13.2449324
Malta,2020,136900.0,515332.0,14917038504.285,28946.462677041207,0.01369,0.01369
Marshall Islands,2020,23062.0,59194.0,244462400.0,4129.850998412001,0.0023062,0.0023062
Mauritania,2020,27844696.0,4649660.0,7915985513.70246,1702.4869589824762,2.7844696,2.7844696
Mauritius,2020,19327122.0,1265740.0,10926820603.402,8632.752858724542,1.9327122,1.9327122
Mexico,2020,825447795.0,128932753.0,1087117783073.31,8431.665017447584,82.5447795,82.5447795
Mongolia,2020,68916814.0,3278292.0,13312981594.573,4060.950517700376,6.8916814,6.8916814
Montenegro,2020,1296975.0,621306.0,4780722121.96227,7694.633758505905,0.1296975,0.1296975
Morocco,2020,260175403.0,36910558.0,114725065285.149,3108.191029925611,26.0175403,26.0175403
Mozambique,2020,69237758.0,31255435.0,14028811071.7628,448.8438913668231,6.9237758,6.9237758
Myanmar,2020,494383084.0,54409794.0,78930257227.0908,1450.6626734718166,49.4383084,49.4383084
Namibia,2020,11545340.0,2540916.0,10562637375.594,4157.019506191468,1.154534,1.154534
Nauru,2020,11426.0,10834.0,114626625.553023,10580.26818839053,0.0011426,0.0011426
Nepal,2020,135313064.0,29136808.0,33433670511.9364,1147.4719712583617,13.5313064,13.5313064
Netherlands,2020,139471330.0,17441500.0,913865395789.886,52396.03220995247,13.947133,13.947133
New Caledonia,2020,717683.0,271960.0,9435529927.2471,34694.55040170283,0.0717683,0.0717683
New Zealand,2020,66740268.0,5090200.0,211734532308.013,41596.50550234038,6.6740268,6.6740268
Nicaragua,2020,42203306.0,6624554.0,12586941392.6347,1900.0435942758863,4.2203306,4.2203306
Niger,2020,88113874.0,24206636.0,13741378450.136,567.6698922616096,8.8113874,8.8113874
Nigeria,2020,474478141.0,206139587.0,432293776262.398,2097.092472890217,47.4478141,47.4478141
North Macedonia,2020,5024823.0,2072531.0,12116981815.2261,5846.465898568514,0.5024823,0.5024823
Norway,2020,22331121.0,5379475.0,362198318435.26,67329.67779109672,2.2331121,2.2331121
Oman,2020,10225052.0,5106622.0,73971391417.4252,14485.386115797332,1.0225052,1.0225052
Pakistan,2020,1804460483.0,220892331.0,300306331697.668,1359.5145215687369,180.4460483,180.4460483
Panama,2020,31673031.0,4314768.0,53977037000.0,12509.835291260157,3.1673031,3.1673031
Papua New Guinea,2020,15841181.0,8947027.0,24667052023.1214,2757.0110186457914,1.5841181,1.5841181
Paraguay,2020,72942641.0,7132530.0,35432178068.1756,4967.687211715282,7.2942641,7.2942641
Peru,2020,230609975.0,32971846.0,201705055938.653,6117.493571292703,23.0609975,23.0609975
Philippines,2020,303746499.0,109581085.0,361751116292.541,3301.2186025767223,30.3746499,30.3746499
Poland,2020,273870754.0,37899070.0,596624355719.671,15742.45372563683,27.3870754,27.3870754
Portugal,2020,12253340.0,10297081.0,228539245045.341,22194.566114935,1.225334,1.225334
Puerto Rico,2020,15711896.0,3281538.0,103138300000.0,31429.866117655805,1.5711896,1.5711896
Qatar,2020,2992012.0,2881060.0,144411363345.27,50124.3859361728,0.2992012,0.2992012
Romania,2020,48828050.0,19257520.0,249511333647.502,12956.566247756826,4.882805,4.882805
Russian Federation,2020,822807610.0,144073139.0,1488321875489.74,10330.321708960197,82.280761,82.280761
Rwanda,2020,20136265.0,12952209.0,10184345442.1708,786.3018147847058,2.0136265,2.0136265
Samoa,2020,852008.0,198410.0,807147527.615094,4068.0788650526383,0.0852008,0.0852008
Sao Tome and Principe,2020,430857.0,219161.0,472914469.91933,2157.84044569668,0.0430857,0.0430857
Saudi Arabia,2020,224940589.0,34813867.0,703367841222.555,20203.668877765147,22.4940589,22.4940589
Senegal,2020,119752387.0,16743930.0,24493157583.2282,1462.8081688843777,11.9752387,11.9752387
Serbia,2020,39798619.0,6899126.0,53335016425.4148,7730.691746376976,3.9798619,3.9798619
Seychelles,2020,134155.0,98462.0,1200634489.34841,12193.886873600068,0.0134155,0.0134155
Sierra Leone,2020,34996659.0,7976985.0,4063289449.58795,509.376593987321,3.4996659,3.4996659
Singapore,2020,3938625.0,5685807.0,345295933898.674,60729.45034867944,0.3938625,0.3938625
Slovenia,2020,6218142.0,2102419.0,53589609580.7099,25489.50022840828,0.6218142,0.6218142
Solomon Islands,2020,933528.0,686878.0,1545888426.23031,2250.6011638607,0.0933528,0.0933528
Somalia,2020,40548453.0,15893219.0,6965285324.52156,438.2551655848673,4.0548453,4.0548453
South Africa,2020,272303772.0,59308690.0,335442101366.417,5655.867653903955,27.2303772,27.2303772
South Sudan,2020,64759976.0,11193729.0,,,6.4759976,6.4759976
Spain,2020,123576400.0,47363419.0,1281484640043.58,27056.421751216483,12.35764,12.35764
Sri Lanka,2020,37378424.0,21919000.0,80969683537.4541,3694.0409479198,3.7378424,3.7378424
Sudan,2020,191012920.0,43849269.0,26987563444.1489,615.4621059737369,19.101292,19.101292
Suriname,2020,7173630.0,586634.0,2884248048.49068,4916.605666379174,0.717363,0.717363
Sweden,2020,23908513.0,10353442.0,541487151474.557,52300.20619949936,2.3908513,2.3908513
Switzerland,2020,19618140.0,8636561.0,752248045730.11,87100.41482137507,1.961814,1.961814
Syrian Arab Republic,2020,49744393.0,17500657.0,,,4.9744393,4.9744393
Tajikistan,2020,25327789.0,9537642.0,8133996647.90397,852.8309877749626,2.5327789,2.5327789
Thailand,2020,488639642.0,69799978.0,499681757030.968,7158.766683722565,48.8639642,48.8639642
Timor-Leste,2020,2543675.0,1318442.0,1902156800.0,1442.7307382501467,0.2543675,0.2543675
Togo,2020,42333541.0,8278737.0,7574636978.66175,914.9507924532148,4.2333541,4.2333541
Tonga,2020,561865.0,105697.0,488829964.070819,4624.823448828434,0.0561865,0.0561865
Trinidad and Tobago,2020,37779712.0,1399491.0,21392536137.7724,15285.940486771548,3.7779712,3.7779712
Tunisia,2020,113213821.0,11818618.0,42514151614.2796,3597.218525404544,11.3213821,11.3213821
Turkmenistan,2020,39297580.0,6031187.0,,,3.929758,3.929758
Tuvalu,2020,73782.0,11792.0,55054710.6186773,4668.81874310357,0.0073782,0.0073782
Uganda,2020,90742859.0,45741000.0,37600368180.9399,822.0276815316653,9.0742859,9.0742859
Ukraine,2020,358087567.0,44132049.0,156617861448.576,3548.8463598999447,35.8087567,35.8087567
United Arab Emirates,2020,30242361.0,9890400.0,358868765174.924,36284.55524295519,3.0242361,3.0242361
Uruguay,2020,65533304.0,3473727.0,53560755046.5726,15418.815308909596,6.5533304,6.5533304
