,Country Name,Country Code,Year,Value
48,Arab World,ARB,2016,2504702625568.63
105,Caribbean small states,CSS,2016,66707362091.378
132,Central Europe and the Baltics,CEB,2016,1312157690492.89
189,Early-demographic dividend,EAR,2016,10401989026722.8
246,East Asia & Pacific,EAS,2016,22480427869996.2
303,East Asia & Pacific (excluding high income),EAP,2016,13512435638588.8
360,East Asia & Pacific (IDA & IBRD countries),TEA,2016,13486492444155.4
417,Euro area,EMU,2016,11934055071906.0
474,Europe & Central Asia,ECS,2016,20273841359271.0
502,Europe & Central Asia (excluding high income),ECA,2016,2991823901020.52
530,Europe & Central Asia (IDA & IBRD countries),TEC,2016,3463188309734.48
587,European Union,EUU,2016,16487344364513.9
604,Fragile and conflict affected situations,FCS,2016,744250583417.645
661,Heavily indebted poor countries (HIPC),HPC,2016,648289348137.032
718,High income,HIC,2016,48557463061833.1
775,IBRD only,IBD,2016,25981476556760.5
832,IDA & IBRD total,IBT,2016,27972819139754.5
889,IDA blend,IDB,2016,923606013413.981
926,IDA only,IDX,2016,1072786488210.4
983,IDA total,IDA,2016,1999807711387.41
1040,Late-demographic dividend,LTE,2016,18455074977717.5
1097,Latin America & Caribbean,LCN,2016,5299865625774.02
1154,Latin America & Caribbean (excluding high income),LAC,2016,4853042525000.34
1211,Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,5094164385266.57
1243,Least developed countries: UN classification,LDC,2016,940734369537.394
1300,Low & middle income,LMY,2016,27299380819539.9
1336,Low income,LIC,2016,402524119028.794
1388,Lower middle income,LMC,2016,6263372909106.61
1437,Middle East & North Africa,MEA,2016,3144797691272.85
1461,Middle East & North Africa (excluding high income),MNA,2016,1453901029336.23
1485,Middle East & North Africa (IDA & IBRD countries),TMN,2016,1440244500023.14
1542,Middle income,MIC,2016,26897069180752.8
1599,North America,NAC,2016,20160296406469.0
1656,OECD members,OED,2016,47552622005124.2
1703,Other small states,OSS,2016,362079512486.165
1745,Pacific island small states,PSS,2016,9019651488.34122
1802,Post-demographic dividend,PST,2016,45213309475250.0
1859,Pre-demographic dividend,PRE,2016,1207787697187.08
