,Area,Item,Element,Year,Unit,Value
55,Afghanistan,Asses,Stocks,2016,Head,1472100.0
115,Afghanistan,Camels,Stocks,2016,Head,170500.0
175,Afghanistan,Cattle,Stocks,2016,Head,5234400.0
235,Afghanistan,Chickens,Stocks,2016,1000 Head,11899.0
295,Afghanistan,Goats,Stocks,2016,Head,7448000.0
355,Afghanistan,Horses,Stocks,2016,Head,171200.0
415,Afghanistan,Mules,Stocks,2016,Head,24900.0
475,Afghanistan,Sheep,Stocks,2016,Head,13265200.0
535,Albania,Asses,Stocks,2016,Head,62000.0
595,Albania,Beehives,Stocks,2016,No,302962.0
655,Albania,Buffaloes,Stocks,2016,Head,119.0
715,Albania,Cattle,Stocks,2016,Head,492393.0
775,Albania,Chickens,Stocks,2016,1000 Head,7634.0
835,Albania,Ducks,Stocks,2016,1000 Head,
895,Albania,Geese and guinea fowls,Stocks,2016,1000 Head,
955,Albania,Goats,Stocks,2016,Head,940806.0
1015,Albania,Horses,Stocks,2016,Head,31729.0
1075,Albania,Mules,Stocks,2016,Head,
1135,Albania,Pigs,Stocks,2016,Head,181024.0
1195,Albania,Sheep,Stocks,2016,Head,1971933.0
1255,Algeria,Asses,Stocks,2016,Head,112846.0
1315,Algeria,Beehives,Stocks,2016,No,416659.0
1375,Algeria,Camels,Stocks,2016,Head,379094.0
1435,Algeria,Cattle,Stocks,2016,Head,2081306.0
1495,Algeria,Chickens,Stocks,2016,1000 Head,134421.0
1555,Algeria,Ducks,Stocks,2016,1000 Head,60.0
1615,Algeria,Geese and guinea fowls,Stocks,2016,1000 Head,37.0
1675,Algeria,Goats,Stocks,2016,Head,4934701.0
1735,Algeria,Horses,Stocks,2016,Head,44991.0
1795,Algeria,Mules,Stocks,2016,Head,19983.0
1855,Algeria,Pigs,Stocks,2016,Head,4979.0
1915,Algeria,Rabbits and hares,Stocks,2016,1000 Head,1641.0
1975,Algeria,Sheep,Stocks,2016,Head,28135986.0
2035,Angola,Asses,Stocks,2016,Head,4499.0
2095,Angola,Beehives,Stocks,2016,No,1157538.0
2155,Angola,Cattle,Stocks,2016,Head,5078430.0
2215,Angola,Chickens,Stocks,2016,1000 Head,35700.0
2275,Angola,Goats,Stocks,2016,Head,4274957.0
