,Country Name,Country Code,2016
0,Aruba,ABW,104865.0
1,Africa Eastern and Southern,AFE,609978946.0
2,Afghanistan,AFG,35383028.0
3,Africa Western and Central,AFW,412551299.0
4,Angola,AGO,28842482.0
5,Albania,ALB,2876101.0
6,Andorra,AND,77295.0
7,Arab World,ARB,404042892.0
8,United Arab Emirates,ARE,9360975.0
9,Argentina,ARG,43590368.0
10,Armenia,ARM,2936147.0
11,American Samoa,ASM,55739.0
12,Antigua and Barbuda,ATG,94520.0
13,Australia,AUS,24190907.0
14,Austria,AUT,8736668.0
15,Azerbaijan,AZE,9757812.0
16,Burundi,BDI,10488002.0
17,Belgium,BEL,11331422.0
18,Benin,BEN,10872072.0
19,Burkina Faso,BFA,18646350.0
20,Bangladesh,BGD,157977151.0
21,Bulgaria,BGR,7127822.0
22,Bahrain,BHR,1425793.0
23,"Bahamas, The",BHS,377923.0
24,Bosnia and Herzegovina,BIH,3386263.0
25,Belarus,BLR,9469379.0
26,Belize,BLZ,368399.0
27,Bermuda,BMU,64554.0
28,Bolivia,BOL,11031822.0
29,Brazil,BRA,206163056.0
30,Barbados,BRB,285798.0
31,Brunei Darussalam,BRN,419791.0
32,Bhutan,BTN,736706.0
33,Botswana,BWA,2159925.0
34,Central African Republic,CAF,4537683.0
35,Canada,CAN,36109487.0
36,Central Europe and the Baltics,CEB,102994278.0
37,Switzerland,CHE,8373338.0
38,Channel Islands,CHI,166922.0
39,Chile,CHL,18209072.0
40,China,CHN,1387790000.0
41,Cote d'Ivoire,CIV,23822726.0
42,Cameroon,CMR,23926549.0
43,"Congo, Dem. Rep.",COD,78789130.0
44,"Congo, Rep.",COG,4980996.0
45,Colombia,COL,48175048.0
46,Comoros,COM,795597.0
47,Cabo Verde,CPV,531140.0
48,Costa Rica,CRI,4899336.0
49,Caribbean small states,CSS,7269385.0
50,Cuba,CUB,11335108.0
51,Curacao,CUW,159664.0
52,Cayman Islands,CYM,62564.0
53,Cyprus,CYP,1170189.0
54,Czech Republic,CZE,10566332.0
55,Germany,DEU,82348669.0
56,Djibouti,DJI,929117.0
57,Dominica,DMA,71307.0
58,Denmark,DNK,5728010.0
59,Dominican Republic,DOM,10397738.0
60,Algeria,DZA,40551398.0
61,East Asia & Pacific (excluding high income),EAP,2062250022.0
